facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
1019,Mission Creek Corrections Center for Women,WA,0,Mission Creek Corrections Center for Women,3420 NE Sand Hill Road,,"Belfair, WA 98528",98528,Mission Creek Corrections Center for Women,3420 NE Sand Hill Road,,"Belfair, WA 98528",98528,https://www.prisonpro.com/content/mission-creek-corrections-center-women
1020,Monroe Correctional Complex,WA,0,Monroe Correctional Complex,P.O. Box 777,,"Monroe, WA 98272",98272,Monroe Correctional Complex,P.O. Box 777,,"Monroe, WA 98272",98272,https://www.prisonpro.com/content/monroe-correctional-complex
1021,Olympic Corrections Center,WA,0,Olympic Corrections Center,11235 Hoh Mainline,,"Forks, WA 98331",98331,Olympic Corrections Center,11235 Hoh Mainline,,"Forks, WA 98331",98331,https://www.prisonpro.com/content/olympic-corrections-center
1022,Stafford Creek Corrections Center,WA,0,Stafford Creek Corrections Center,191 Constantine Way,,"Aberdeen, WA 98520",98520,Stafford Creek Corrections Center,191 Constantine Way,,"Aberdeen, WA 98520",98520,https://www.prisonpro.com/content/stafford-creek-corrections-center
1023,Washington Corrections Center,WA,0,Washington Corrections Center,P.O. Box 900,,"Shelton, WA 98584",98584,Washington Corrections Center,P.O. Box 900,,"Shelton, WA 98584",98584,https://www.prisonpro.com/content/washington-corrections-center
1024,Washington Corrections Center for Women,WA,0,Washington Corrections Center for Women,9601 Bujacich Rd. NW,,"Gig Harbor, WA 98332-8300",98332,Washington Corrections Center for Women,9601 Bujacich Rd. NW,,"Gig Harbor, WA 98332-8300",98332,https://www.prisonpro.com/content/washington-corrections-center-women
1025,Washington State Penitentiary,WA,0,Washington State Penitentiary,1313 North 13th Avenue,,"Walla Walla, WA 99362",99362,Washington State Penitentiary,1313 North 13th Avenue,,"Walla Walla, WA 99362",99362,https://www.prisonpro.com/content/washington-state-penitentiary
1026,Anthony Correctional Center,WV,0,Anthony Correctional Center,Box N-1,,"White Sulphur Springs, WV 24986",24986,Anthony Correctional Center,Box N-1,,"White Sulphur Springs, WV 24986",24986,https://www.prisonpro.com/content/anthony-correctional-center
1027,Beckley Correctional Center,WV,0,Beckley Correctional Center,111 S. Eisenhower Drive,,"Beckley, WV 25801",25801,Beckley Correctional Center,111 S. Eisenhower Drive,,"Beckley, WV 25801",25801,https://www.prisonpro.com/content/beckley-correctional-center
1028,Charleston Correctional Center,WV,0,Charleston Correctional Center,1356 Hansford St.,,"Charleston, WV 25301",25301,Charleston Correctional Center,1356 Hansford St.,,"Charleston, WV 25301",25301,https://www.prisonpro.com/content/charleston-correctional-center
1029,Denmar Correctional Center,WV,0,Denmar Correctional Center,4319 Denmar Road,,"Hillsboro, WV 24946",24946,Denmar Correctional Center,4319 Denmar Road,,"Hillsboro, WV 24946",24946,https://www.prisonpro.com/content/denmar-correctional-center
1030,Huttonsville Correctional Center,WV,0,Huttonsville Correctional Center,P.O. Box 1,,"Huttonsville, WV 26273",26273,Huttonsville Correctional Center,P.O. Box 1,,"Huttonsville, WV 26273",26273,https://www.prisonpro.com/content/huttonsville-correctional-center
